Field,ID,RA_1,DEC_1,Z,PLATE,MJD,FIBERID,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal
STRIPE82-0001,iDR3.STRIPE82-0001.006468,359.9823315703245,-1.235868375725067,2.713,4216,55477,244,20.67231,20.092518,20.041967,20.149925,20.05282,19.653473,19.358435,19.42043,19.596153,19.490728,19.513803,19.346413
STRIPE82-0001,iDR3.STRIPE82-0001.006546,0.2646360002580031,-1.233321579405484,1.83,4216,55477,202,22.812996,22.372145,22.908373,21.856945,22.705145,21.645184,21.223162,21.646141,22.11089,21.208529,20.792814,21.555359
STRIPE82-0001,iDR3.STRIPE82-0001.006588,359.3556796855349,-1.232083622532696,2.213,7848,56959,168,21.959425,21.934395,20.556402,21.725948,22.091309,21.066776,20.821283,20.913174,20.88544,20.774788,20.486486,21.148643
STRIPE82-0001,iDR3.STRIPE82-0001.006731,359.339549284354,-1.2278160096964514,1.724541,685,52203,275,21.219961,20.790192,20.87984,21.308605,20.358404,20.537663,20.084085,20.416508,20.236942,20.02664,19.990648,19.939507
STRIPE82-0001,iDR3.STRIPE82-0001.006738,0.4246948139129177,-1.2276422068052462,1.983986258506775,7850,56956,766,20.508274,20.779995,20.906614,20.87474,20.783714,20.530312,20.86795,20.655334,20.780102,20.168192,20.087194,20.227345
STRIPE82-0001,iDR3.STRIPE82-0001.006781,0.5748450496628019,-1.226336602106955,2.776062726974488,7850,56956,812,22.684097,22.16328,21.694212,21.743866,22.36872,22.243858,99.0,22.463078,21.987747,22.085434,21.388453,21.052414
STRIPE82-0001,iDR3.STRIPE82-0001.007133,359.8139918938929,-1.2155882172731698,0.571,4216,55477,372,21.805395,21.958986,22.007563,21.444767,21.072727,21.327642,20.870707,20.88647,20.649727,20.238811,20.030706,19.902328
STRIPE82-0001,iDR3.STRIPE82-0001.007331,0.3310317759569725,-1.2095397888446688,2.199,4216,55477,204,20.293646,20.016941,19.108297,19.771889,19.66989,19.56406,19.61929,19.451294,19.489498,19.334919,19.172071,19.014751
STRIPE82-0001,iDR3.STRIPE82-0001.007420,359.9944331326497,-1.2070100318865045,1.7723159790039062,9159,57666,9,18.881107,18.91293,18.915459,18.839043,18.531685,18.824955,18.825987,18.736874,18.690495,18.559437,18.563742,18.57182
STRIPE82-0001,iDR3.STRIPE82-0001.007425,359.6255659548964,-1.206759274601276,1.188,4354,55810,568,22.147537,21.768566,22.112219,22.069725,22.113213,21.575,21.288235,20.888447,20.874722,20.607439,20.656225,20.541595
STRIPE82-0001,iDR3.STRIPE82-0001.007478,0.0322755353700543,-1.2051442727908577,0.9642969965934752,7850,56956,687,22.177217,21.850296,21.3811,22.624771,22.517828,22.037958,21.394123,21.722569,21.942947,21.650362,20.680288,21.782696
STRIPE82-0001,iDR3.STRIPE82-0001.007949,359.5121728143843,-1.19251101920452,0.9768620729446412,7850,56956,604,21.619139,21.003998,21.696638,21.163383,21.640936,20.64385,20.37356,20.38593,20.540142,20.368109,20.199545,20.058243
STRIPE82-0001,iDR3.STRIPE82-0001.008130,359.6034042554566,-1.1876231521269656,2.769,4216,55477,406,22.856092,22.39322,99.0,99.0,22.240183,21.527893,21.987709,21.445679,21.326183,21.07414,21.813375,20.892124
STRIPE82-0001,iDR3.STRIPE82-0001.008272,0.1958873812011207,-1.1836436860874242,1.51075541973114,7850,56956,728,21.982904,21.435278,21.403418,21.814621,21.791153,21.398762,99.0,21.974476,21.668777,22.099539,99.0,22.561386
